 Event ID : 1
-103.073 -116.354 -69.056 61 66.3125
-4.90825 -11.3012 -27.296 76 115.25
-7.36236 -9.95207 -7.808 83 66.2167
29.4494 2.7999 -5.024 84 3694.1
26.9953 1.45075 -2.24 85 1511
139.885 7.05056 0.544 86 589.467
34.3577 -5.70141 3.328 87 237.8
26.9953 7.05056 6.112 88 1578.85
142.339 5.70141 6.112 88 229.617
71.1694 9.95207 6.112 88 2567.05
78.5318 22.704 6.112 88 402.7
68.7153 19.8025 6.112 88 738.35
71.1694 15.5519 6.112 88 940.45
44.1741 2.7999 6.112 88 406.5
24.5412 -2.7999 6.112 88 320
68.7153 14.2027 6.112 88 667.1
68.7153 11.3012 6.112 88 1979.75
31.9035 1.45075 11.68 90 3738
29.4494 5.70141 11.68 90 700.9
142.339 2.7999 14.464 91 182.783
137.431 2.7999 17.248 92 94.9833
34.3577 2.7999 17.248 92 3732.1
139.885 1.45075 22.816 94 699.467
80.9859 15.5519 25.6 95 904.25
85.8941 18.4534 25.6 95 2049.35
22.0871 -1.45075 28.384 96 154.85
44.1741 11.3012 28.384 96 330.55
58.8988 14.2027 28.384 96 79
39.2659 11.3012 31.168 97 179.05
41.72 7.05056 31.168 97 106.8
14.7247 2.7999 33.952 98 276.9
24.5412 5.70141 33.952 98 124.2
12.2706 -1.45075 36.736 99 245.35
34.3577 5.70141 36.736 99 739.3
139.885 -1.45075 36.736 99 619.117
36.8118 1.45075 36.736 99 3299.55
19.6329 2.7999 36.736 99 426.3
26.9953 -1.45075 39.52 100 271.5
17.1788 1.45075 39.52 100 299.15
31.9035 -1.45075 42.304 101 1146.9
137.431 -2.7999 42.304 101 441.9
142.339 -2.7999 45.088 102 114.825
9.81648 -2.7999 47.872 103 105.1
36.8118 -1.45075 50.656 104 2606.05
88.3483 14.2027 50.656 104 1175.8
-12.2706 -1.45075 53.44 105 648.567
39.2659 -11.3012 53.44 105 1117.2
85.8941 26.9547 56.224 106 86.475
22.0871 1.45075 59.008 107 219.2
137.431 -5.70141 59.008 107 387.425
36.8118 7.05056 59.008 107 73
34.3577 -2.7999 61.792 108 1180.9
39.2659 5.70141 61.792 108 109
85.8941 24.0532 61.792 108 1916.45
22.0871 -7.05056 64.576 109 215.85
39.2659 2.7999 64.576 109 2829.3
139.885 -7.05056 64.576 109 278.775
134.976 -7.05056 72.928 112 83.675
39.2659 -2.7999 72.928 112 3027.7
139.885 -9.95207 78.496 114 238.625
134.976 -9.95207 81.28 115 200.125
88.3483 22.704 81.28 115 199.95
137.431 -11.3012 84.064 116 540.625
41.72 -1.45075 84.064 116 3396.15
17.1788 -1.45075 84.064 116 166.6
41.72 1.45075 86.848 117 2611.95
14.7247 -2.7999 89.632 118 101.55
137.431 -14.2027 92.416 119 399.525
132.522 -14.2027 97.984 121 105.325
29.4494 -2.7999 97.984 121 208.9
93.2565 22.704 97.984 121 115.6
34.3577 -11.3012 97.984 121 122.7
83.44 22.704 97.984 121 719.7
24.5412 2.7999 100.768 122 169.9
90.8024 26.9547 100.768 122 109.05
19.6329 -2.7999 103.552 123 216.3
85.8941 15.5519 103.552 123 1897.45
49.0823 164.393 103.552 123 25.55
44.1741 -2.7999 103.552 123 2093.2
134.976 -15.5519 103.552 123 363.767
31.9035 7.05056 106.336 124 333.6
31.9035 -7.05056 106.336 124 155.2
46.6282 7.05056 109.12 125 162.75
83.44 19.8025 109.12 125 419.6
39.2659 -5.70141 109.12 125 2942.65
41.72 -7.05056 111.904 126 2489.2
